Layer,Step,Model,Pair,t-similarity
11,3,Whisper_encoder,task-dask,0.13727033
11,4,Whisper_encoder,task-dask,0.48686802
11,5,Whisper_encoder,task-dask,0.5205003
11,6,Whisper_encoder,task-dask,0.8016807
11,7,Whisper_encoder,task-dask,0.7964319
11,8,Whisper_encoder,task-dask,0.93038815
11,9,Whisper_encoder,task-dask,0.9111559
11,10,Whisper_encoder,task-dask,0.9628194
12,0,Whisper_encoder,dash-tash,0.04001224
12,1,Whisper_encoder,dash-tash,0.14710075
12,2,Whisper_encoder,dash-tash,0.13790572
12,3,Whisper_encoder,dash-tash,0.13714844
12,4,Whisper_encoder,dash-tash,0.5047846
12,5,Whisper_encoder,dash-tash,0.60854447
12,6,Whisper_encoder,dash-tash,0.834303
12,7,Whisper_encoder,dash-tash,0.8523383
12,8,Whisper_encoder,dash-tash,0.9331867
12,9,Whisper_encoder,dash-tash,0.9302343
12,10,Whisper_encoder,dash-tash,0.946771
12,0,Whisper_encoder,task-dask,0.044534147
12,1,Whisper_encoder,task-dask,0.09735143
12,2,Whisper_encoder,task-dask,0.13115561
12,3,Whisper_encoder,task-dask,0.12441045
12,4,Whisper_encoder,task-dask,0.50177824
12,5,Whisper_encoder,task-dask,0.56538427
12,6,Whisper_encoder,task-dask,0.82859033
12,7,Whisper_encoder,task-dask,0.82373655
12,8,Whisper_encoder,task-dask,0.9256383
12,9,Whisper_encoder,task-dask,0.9117389
12,10,Whisper_encoder,task-dask,0.9498793
