Layer,Step,Model,Pair,t-similarity
6,5,wav2vec2_pretrained,task-dask,0.5881997
6,6,wav2vec2_pretrained,task-dask,0.760661
6,7,wav2vec2_pretrained,task-dask,0.77410364
6,8,wav2vec2_pretrained,task-dask,0.89088356
6,9,wav2vec2_pretrained,task-dask,0.89287585
6,10,wav2vec2_pretrained,task-dask,0.9467815
7,0,wav2vec2_pretrained,dash-tash,0.046654284
7,1,wav2vec2_pretrained,dash-tash,0.1003893
7,2,wav2vec2_pretrained,dash-tash,0.23556328
7,3,wav2vec2_pretrained,dash-tash,0.28906876
7,4,wav2vec2_pretrained,dash-tash,0.36914343
7,5,wav2vec2_pretrained,dash-tash,0.5349455
7,6,wav2vec2_pretrained,dash-tash,0.73362243
7,7,wav2vec2_pretrained,dash-tash,0.73614264
7,8,wav2vec2_pretrained,dash-tash,0.8708697
7,9,wav2vec2_pretrained,dash-tash,0.90395486
7,10,wav2vec2_pretrained,dash-tash,0.94882816
7,0,wav2vec2_pretrained,task-dask,0.043946743
7,1,wav2vec2_pretrained,task-dask,0.08371496
7,2,wav2vec2_pretrained,task-dask,0.22864091
7,3,wav2vec2_pretrained,task-dask,0.26450205
7,4,wav2vec2_pretrained,task-dask,0.45326406
7,5,wav2vec2_pretrained,task-dask,0.5564984
7,6,wav2vec2_pretrained,task-dask,0.72329795
7,7,wav2vec2_pretrained,task-dask,0.72698116
7,8,wav2vec2_pretrained,task-dask,0.8491765
7,9,wav2vec2_pretrained,task-dask,0.8740603
7,10,wav2vec2_pretrained,task-dask,0.94547576
8,0,wav2vec2_pretrained,dash-tash,0.05674696
8,1,wav2vec2_pretrained,dash-tash,0.107916
8,2,wav2vec2_pretrained,dash-tash,0.23819435
8,3,wav2vec2_pretrained,dash-tash,0.29349494
8,4,wav2vec2_pretrained,dash-tash,0.35350406
8,5,wav2vec2_pretrained,dash-tash,0.4843912
8,6,wav2vec2_pretrained,dash-tash,0.7020683
8,7,wav2vec2_pretrained,dash-tash,0.7002647
8,8,wav2vec2_pretrained,dash-tash,0.85556865
8,9,wav2vec2_pretrained,dash-tash,0.88468087
8,10,wav2vec2_pretrained,dash-tash,0.9151537
8,0,wav2vec2_pretrained,task-dask,0.053796887
8,1,wav2vec2_pretrained,task-dask,0.076693416
8,2,wav2vec2_pretrained,task-dask,0.21764255
8,3,wav2vec2_pretrained,task-dask,0.25590408
8,4,wav2vec2_pretrained,task-dask,0.44409722
8,5,wav2vec2_pretrained,task-dask,0.51798165
8,6,wav2vec2_pretrained,task-dask,0.66286504
8,7,wav2vec2_pretrained,task-dask,0.68203115
8,8,wav2vec2_pretrained,task-dask,0.79752946
8,9,wav2vec2_pretrained,task-dask,0.82534105
8,10,wav2vec2_pretrained,task-dask,0.9084464
9,0,wav2vec2_pretrained,dash-tash,0.056535065
9,1,wav2vec2_pretrained,dash-tash,0.13183135
9,2,wav2vec2_pretrained,dash-tash,0.270813
9,3,wav2vec2_pretrained,dash-tash,0.31102407
9,4,wav2vec2_pretrained,dash-tash,0.3744328
9,5,wav2vec2_pretrained,dash-tash,0.48058373
9,6,wav2vec2_pretrained,dash-tash,0.67323875
9,7,wav2vec2_pretrained,dash-tash,0.6858469
9,8,wav2vec2_pretrained,dash-tash,0.8475952
9,9,wav2vec2_pretrained,dash-tash,0.8811145
9,10,wav2vec2_pretrained,dash-tash,0.9426767
9,0,wav2vec2_pretrained,task-dask,0.050206244
9,1,wav2vec2_pretrained,task-dask,0.08363998
9,2,wav2vec2_pretrained,task-dask,0.239891
9,3,wav2vec2_pretrained,task-dask,0.27993864
9,4,wav2vec2_pretrained,task-dask,0.48029768
9,5,wav2vec2_pretrained,task-dask,0.5272691
9,6,wav2vec2_pretrained,task-dask,0.709895
9,7,wav2vec2_pretrained,task-dask,0.7223223
9,8,wav2vec2_pretrained,task-dask,0.8309603
9,9,wav2vec2_pretrained,task-dask,0.8479801
9,10,wav2vec2_pretrained,task-dask,0.945013
10,0,wav2vec2_pretrained,dash-tash,0.039286196
10,1,wav2vec2_pretrained,dash-tash,0.11063141
10,2,wav2vec2_pretrained,dash-tash,0.25665492
10,3,wav2vec2_pretrained,dash-tash,0.2940486
10,4,wav2vec2_pretrained,dash-tash,0.37522888
10,5,wav2vec2_pretrained,dash-tash,0.47771055
10,6,wav2vec2_pretrained,dash-tash,0.66702604
10,7,wav2vec2_pretrained,dash-tash,0.7046774
10,8,wav2vec2_pretrained,dash-tash,0.8593864
10,9,wav2vec2_pretrained,dash-tash,0.8940639
10,10,wav2vec2_pretrained,dash-tash,0.9604823
10,0,wav2vec2_pretrained,task-dask,0.04181224
10,1,wav2vec2_pretrained,task-dask,0.08575666
10,2,wav2vec2_pretrained,task-dask,0.24149698
10,3,wav2vec2_pretrained,task-dask,0.28234607
10,4,wav2vec2_pretrained,task-dask,0.4804986
10,5,wav2vec2_pretrained,task-dask,0.5320675
10,6,wav2vec2_pretrained,task-dask,0.728282
10,7,wav2vec2_pretrained,task-dask,0.72202563
10,8,wav2vec2_pretrained,task-dask,0.88302666
10,9,wav2vec2_pretrained,task-dask,0.8941573
10,10,wav2vec2_pretrained,task-dask,0.95893025
11,0,wav2vec2_pretrained,dash-tash,0.035099387
11,1,wav2vec2_pretrained,dash-tash,0.1241073
11,2,wav2vec2_pretrained,dash-tash,0.2959996
11,3,wav2vec2_pretrained,dash-tash,0.336528
11,4,wav2vec2_pretrained,dash-tash,0.6198128
11,5,wav2vec2_pretrained,dash-tash,0.6891713
11,6,wav2vec2_pretrained,dash-tash,0.72531307
11,7,wav2vec2_pretrained,dash-tash,0.89363843
11,8,wav2vec2_pretrained,dash-tash,0.7855582
11,9,wav2vec2_pretrained,dash-tash,0.79422826
11,10,wav2vec2_pretrained,dash-tash,0.95830214
11,0,wav2vec2_pretrained,task-dask,0.034678876
11,1,wav2vec2_pretrained,task-dask,0.06866127
11,2,wav2vec2_pretrained,task-dask,0.29456133
11,3,wav2vec2_pretrained,task-dask,0.3455212
11,4,wav2vec2_pretrained,task-dask,0.64041257
11,5,wav2vec2_pretrained,task-dask,0.6830075
11,6,wav2vec2_pretrained,task-dask,0.80164284
11,7,wav2vec2_pretrained,task-dask,0.6895876
11,8,wav2vec2_pretrained,task-dask,0.9060716
11,9,wav2vec2_pretrained,task-dask,0.86331964
11,10,wav2vec2_pretrained,task-dask,0.9590112
12,0,wav2vec2_pretrained,dash-tash,0.021607518
12,1,wav2vec2_pretrained,dash-tash,0.07421464
12,2,wav2vec2_pretrained,dash-tash,0.20929211
12,3,wav2vec2_pretrained,dash-tash,0.24522012
12,4,wav2vec2_pretrained,dash-tash,0.7074447
12,5,wav2vec2_pretrained,dash-tash,0.73775077
12,6,wav2vec2_pretrained,dash-tash,0.6565871
12,7,wav2vec2_pretrained,dash-tash,0.9071124
12,8,wav2vec2_pretrained,dash-tash,0.85123026
12,9,wav2vec2_pretrained,dash-tash,0.8869617
12,10,wav2vec2_pretrained,dash-tash,0.96241593
12,0,wav2vec2_pretrained,task-dask,0.023413718
12,1,wav2vec2_pretrained,task-dask,0.043373466
12,2,wav2vec2_pretrained,task-dask,0.19975877
12,3,wav2vec2_pretrained,task-dask,0.2547953
12,4,wav2vec2_pretrained,task-dask,0.6704475
12,5,wav2vec2_pretrained,task-dask,0.74650246
12,6,wav2vec2_pretrained,task-dask,0.78285646
12,7,wav2vec2_pretrained,task-dask,0.68113583
12,8,wav2vec2_pretrained,task-dask,0.9141135
12,9,wav2vec2_pretrained,task-dask,0.90132195
12,10,wav2vec2_pretrained,task-dask,0.96992606
