Layer,Step,Model,Pair,t-similarity
8,2,wav2vec2_finetuned,task-dask,0.19720042
8,3,wav2vec2_finetuned,task-dask,0.20746887
8,4,wav2vec2_finetuned,task-dask,0.46458894
8,5,wav2vec2_finetuned,task-dask,0.58212614
8,6,wav2vec2_finetuned,task-dask,0.75030994
8,7,wav2vec2_finetuned,task-dask,0.76210254
8,8,wav2vec2_finetuned,task-dask,0.8287976
8,9,wav2vec2_finetuned,task-dask,0.8453732
8,10,wav2vec2_finetuned,task-dask,0.8822833
9,0,wav2vec2_finetuned,dash-tash,0.08148664
9,1,wav2vec2_finetuned,dash-tash,0.1422512
9,2,wav2vec2_finetuned,dash-tash,0.2372474
9,3,wav2vec2_finetuned,dash-tash,0.22660881
9,4,wav2vec2_finetuned,dash-tash,0.38126075
9,5,wav2vec2_finetuned,dash-tash,0.66407156
9,6,wav2vec2_finetuned,dash-tash,0.8317809
9,7,wav2vec2_finetuned,dash-tash,0.8189913
9,8,wav2vec2_finetuned,dash-tash,0.8840532
9,9,wav2vec2_finetuned,dash-tash,0.89518166
9,10,wav2vec2_finetuned,dash-tash,0.8933273
9,0,wav2vec2_finetuned,task-dask,0.088915706
9,1,wav2vec2_finetuned,task-dask,0.12685835
9,2,wav2vec2_finetuned,task-dask,0.2270239
9,3,wav2vec2_finetuned,task-dask,0.24282855
9,4,wav2vec2_finetuned,task-dask,0.5265062
9,5,wav2vec2_finetuned,task-dask,0.6597626
9,6,wav2vec2_finetuned,task-dask,0.8430276
9,7,wav2vec2_finetuned,task-dask,0.84977543
9,8,wav2vec2_finetuned,task-dask,0.88827497
9,9,wav2vec2_finetuned,task-dask,0.89323187
9,10,wav2vec2_finetuned,task-dask,0.9228327
10,0,wav2vec2_finetuned,dash-tash,0.09230548
10,1,wav2vec2_finetuned,dash-tash,0.15556353
10,2,wav2vec2_finetuned,dash-tash,0.22521734
10,3,wav2vec2_finetuned,dash-tash,0.30096114
10,4,wav2vec2_finetuned,dash-tash,0.33263958
10,5,wav2vec2_finetuned,dash-tash,0.6004571
10,6,wav2vec2_finetuned,dash-tash,0.7943765
10,7,wav2vec2_finetuned,dash-tash,0.78198445
10,8,wav2vec2_finetuned,dash-tash,0.89126015
10,9,wav2vec2_finetuned,dash-tash,0.8817727
10,10,wav2vec2_finetuned,dash-tash,0.91774535
10,0,wav2vec2_finetuned,task-dask,0.09224272
10,1,wav2vec2_finetuned,task-dask,0.10981268
10,2,wav2vec2_finetuned,task-dask,0.20094371
10,3,wav2vec2_finetuned,task-dask,0.25098377
10,4,wav2vec2_finetuned,task-dask,0.48427433
